question,correct_answer,graph_rag_answer,is_graph_rag_answer_correct,graph_rag_answer_comment
test_anatomy-question_000,A,A,True,
test_anatomy-question_001,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_002,A,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_003,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_004,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_005,B,C,False,
test_anatomy-question_006,A,A,True,
test_anatomy-question_007,B,B,True,
test_anatomy-question_008,C,A,False,
test_anatomy-question_009,D,D,True,
test_anatomy-question_010,D,D,True,
test_anatomy-question_011,D,,False,
test_anatomy-question_012,D,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_013,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_014,A,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_015,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_016,B,B,True,
test_anatomy-question_017,D,D,True,
test_anatomy-question_018,D,D,True,
test_anatomy-question_019,C,C,True,
test_anatomy-question_020,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_021,C,C,True,
test_anatomy-question_022,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_023,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_024,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_025,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_026,C,C,True,
test_anatomy-question_027,A,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_028,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_029,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_030,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_031,A,A,True,
test_anatomy-question_032,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_033,B,D,False,
test_anatomy-question_034,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_035,C,A,False,
test_anatomy-question_036,D,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_037,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_038,D,D,True,
test_anatomy-question_039,C,C,True,
test_anatomy-question_040,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_041,C,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_042,B,No Answer,False, Did not find enough information to provide an answer
test_anatomy-question_043,C,No Answer,False, Did not find enough information to provide an answer
